dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,A5,52,ablation,ordered,0.3851002865329513,0.2891260157312796,0.5324123273113709,0.3349657198824681,0.0,0.4697802197802198,0.2602739726027397,"early,middle,late",0.7397260273972602,0.0,657,0,0,0.0043629559262225,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,A6,52,ablation,final,0.3856733524355301,0.2897634289126718,0.532695374800638,0.3365949119373776,0.0,0.4712328767123288,0.2617960426179604,"early,middle,late",0.7382039573820396,0.0,657,0,0,0.0060785311267285,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,A1,62,ablation,raw,0.4401146131805157,0.4266234553837193,0.6179507545671168,0.1955896452540748,0.4663299663299663,0.2642487046632124,0.1552511415525114,"early,middle,late",0.5220700152207002,0.3226788432267884,657,38,24,0.0775925142778051,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A2,62,ablation,raw_fine,0.4452722063037249,0.4408996459524925,0.6313213703099511,0.268059181897302,0.4233183856502242,0.3130081300813008,0.2343987823439878,"early,middle,late",0.4901065449010654,0.2754946727549467,657,35,19,0.0655824565543605,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A3,62,ablation,raw_prior,0.4607449856733524,0.4592397238081878,0.6231404958677685,0.3014394580863674,0.4531392174704277,0.3396946564885496,0.2709284627092846,"early,middle,late",0.4794520547945205,0.2496194824961948,657,44,2,0.0673639311624754,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A4,62,ablation,mix,0.4573065902578797,0.4547350799622984,0.6248969497114591,0.2908777969018933,0.4484304932735426,0.3346534653465347,0.2572298325722983,"early,middle,late",0.4809741248097412,0.2617960426179604,657,41,4,0.0661968860454936,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A5,62,ablation,ordered,0.464756446991404,0.4681225207540997,0.6223776223776224,0.3460925039872408,0.4358974358974359,0.3634840871021775,0.3302891933028919,"early,middle,late",0.4140030441400304,0.2557077625570776,657,29,0,0.0647809220875759,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A6,62,ablation,final,0.4636103151862464,0.4663288686117032,0.6255430060816681,0.3403225806451613,0.4331210191082802,0.3619210977701543,0.3211567732115677,"early,middle,late",0.4185692541856925,0.2602739726027397,657,29,3,0.0622948446255972,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,A1,72,ablation,raw,0.3650429799426934,0.2897306328557693,0.5580357142857143,0.1868787276341948,0.1242774566473988,0.2693409742120344,0.1430745814307458,"early,middle,late",0.7640791476407914,0.0928462709284627,657,26,12,0.0541157225216721,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,A2,72,ablation,raw_fine,0.394269340974212,0.3263083518185559,0.6142506142506142,0.2568027210884354,0.107871720116618,0.2909441233140655,0.2298325722983257,"early,middle,late",0.6773211567732116,0.0928462709284627,657,27,11,0.0386428600280762,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
