dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D3-M,B11,52,baseline,raw,0.4629731212287438,0.4303440368891902,0.7424242424242424,0.0234741784037558,0.5251336898395722,0.1204819277108433,0.0130039011703511,"early,middle,late",0.0520156046814044,0.9349804941482444,769,21,11,0.0523659849079134,0.2240525180015934,0.2747451769545879,-0.953348207326976,0.5372823880018417,0.5122559705123225,0.0109360984229779,
mendeley,primary,cross_machine_dual,D3-M,B12,52,proposed,final,0.4333516182117389,0.422216550525792,0.6666666666666666,0.083080040526849,0.5169029443838604,0.1880733944954128,0.0533159947984395,"early,middle,late",0.0221066319895968,0.9245773732119636,769,20,0,0.0450634346281843,0.2240525180015934,0.2747451769545879,-0.953348207326976,0.5372823880018417,0.5122559705123225,0.0109360984229779,
mendeley,primary,cross_machine_dual,D3-M,B9,52,baseline,b9,0.4168952276467361,0.3384873288037315,0.6219081272084805,0.0,0.3935538592027142,0.0,0.0,"early,middle,late",0.4525357607282184,0.5474642392717816,769,37,74,0.0686898759439597,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B10,52,baseline,b10,0.4514536478332419,0.4070280973506779,0.703962703962704,0.0,0.5171215880893301,0.0,0.0,"early,middle,late",0.0299089726918075,0.9700910273081924,769,10,20,0.024336877625522,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B11,62,baseline,raw,0.4925946242457488,0.4207819656189221,0.7229437229437229,0.0,0.5394021739130435,0.0,0.0,"early,middle,late",0.2964889466840052,0.7035110533159948,769,37,73,0.0759203420342361,0.1514318244622414,0.203855756591609,-0.0753887115387617,0.6484736708028228,0.5506226558689072,0.0163099597116093,
mendeley,primary,cross_machine_dual,D3-M,B12,62,proposed,final,0.505759736697751,0.4446621199320819,0.7488721804511278,0.0389294403892944,0.5461847389558233,0.3018867924528302,0.0208062418725617,"early,middle,late",0.2561768530559167,0.7230169050715215,769,37,21,0.0670442004165537,0.1514318244622414,0.203855756591609,-0.0753887115387617,0.6484736708028228,0.5506226558689072,0.0163099597116093,
mendeley,primary,cross_machine_dual,D3-M,B9,62,baseline,b9,0.4048272078990674,0.3320350088306661,0.6490233144297417,0.0,0.3470817120622568,0.0,0.0,"early,middle,late",0.3133940182054616,0.6866059817945384,769,38,74,0.0694883728977471,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B10,62,baseline,b10,0.4130554031815688,0.3431832539565637,0.6490322580645161,0.0,0.380517503805175,0.0,0.0,"early,middle,late",0.3159947984395319,0.6840052015604682,769,22,43,0.0564322302708975,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B11,72,baseline,raw,0.3077345035655512,0.1968581363318205,0.4988146040777619,0.0154440154440154,0.0763157894736842,0.75,0.0078023407022106,"early,middle,late",0.7256176853055917,0.2665799739921977,769,28,53,0.0642893986413712,0.2323656513352183,0.2948860668118232,-1.2502357466155414,0.4876523071926882,0.0746807667051854,0.0196972160385205,
mendeley,primary,cross_machine_dual,D3-M,B12,72,proposed,final,0.3351618211738892,0.2422521038766078,0.5177514792899408,0.1355140186915887,0.0734908136482939,0.6666666666666666,0.0754226267880364,"early,middle,late",0.6527958387516255,0.2717815344603381,769,35,11,0.0665071088621306,0.2323656513352183,0.2948860668118232,-1.2502357466155414,0.4876523071926882,0.0746807667051854,0.0196972160385205,
mendeley,primary,cross_machine_dual,D3-M,B9,72,baseline,b9,0.4690071311025782,0.4059392949500521,0.7053364269141531,0.0102564102564102,0.5022250476795931,0.3636363636363636,0.0052015604681404,"early,middle,late",0.2314694408322496,0.7633289986996099,769,58,112,0.0499023309734823,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B10,72,baseline,b10,0.5606143719144268,0.4888018857643906,0.8518518518518519,0.0051880674448767,0.6093657379964433,1.0,0.0026007802340702,"early,middle,late",0.1846553966189857,0.812743823146944,769,21,43,0.0492254986482334,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B11,82,baseline,raw,0.5469007131102578,0.4924595335044447,0.8650137741046832,0.025,0.5873648264086511,0.3225806451612903,0.0130039011703511,"early,middle,late",0.1040312093628088,0.88296488946684,769,23,37,0.0597595471276001,0.1964005389954395,0.2451117521472604,-0.5547042388423558,0.6412308241197471,0.6848090712840191,0.0156158686011702,
mendeley,primary,cross_machine_dual,D3-M,B12,82,proposed,final,0.5666483817882612,0.5409846937512809,0.8827586206896552,0.1457858769931662,0.5944095835710211,0.5871559633027523,0.083224967490247,"early,middle,late",0.0442132639791937,0.8725617685305592,769,20,1,0.0512814984969887,0.1964005389954395,0.2451117521472604,-0.5547042388423558,0.6412308241197471,0.6848090712840191,0.0156158686011702,
mendeley,primary,cross_machine_dual,D3-M,B9,82,baseline,b9,0.3631376851343939,0.2810525129822908,0.5842696629213483,0.0,0.2588878760255241,0.0,0.0,"early,middle,late",0.4525357607282184,0.5474642392717816,769,42,84,0.09653841197211,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B10,82,baseline,b10,0.5469007131102578,0.4714900735254998,0.7838660578386606,0.0205655526992287,0.61003861003861,0.8888888888888888,0.0104031209362808,"early,middle,late",0.2847854356306892,0.7048114434330299,769,30,56,0.0696594907573323,,,,,,,
